Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice,Knows_CyberMonth
CyberThreat_Danger,1.0,0.26,0.17,0.41,0.36,0.0,-0.08,0.19,0.15,0.33,0.14,0.0,0.32,0.43,0.16,0.0,0.15,0.0,0.12
CyberThreat_FirewallSecurity,0.26,1.0,0.27,0.36,0.32,-0.08,0.0,0.1,0.07,0.18,0.0,0.07,0.22,0.17,0.14,0.0,0.0,-0.09,0.0
CyberThreat_KnownWebsites,0.17,0.27,1.0,0.22,0.17,0.13,0.0,0.17,0.09,0.18,0.14,0.0,0.19,0.22,0.1,0.14,0.12,0.06,0.09
CyberThreat_Risk4Individual,0.41,0.36,0.22,1.0,0.51,-0.15,0.0,0.19,0.2,0.23,0.13,0.0,0.36,0.27,0.12,-0.08,0.0,-0.17,0.0
CyberThreat_OnInfrastructure,0.36,0.32,0.17,0.51,1.0,-0.25,0.0,0.14,0.2,0.2,0.08,0.0,0.43,0.32,0.17,-0.14,0.12,-0.19,0.0
CyberThreat_GERPreparedness,0.0,-0.08,0.13,-0.15,-0.25,1.0,0.17,0.0,0.0,0.0,0.0,0.12,-0.09,0.1,0.11,0.62,0.08,0.51,0.24
CyberThreat_SelfDefense,-0.08,0.0,0.0,0.0,0.0,0.17,1.0,-0.31,-0.28,0.0,-0.27,0.45,0.0,0.0,0.17,0.15,0.0,0.12,0.19
CyberThreat_Uninformed,0.19,0.1,0.17,0.19,0.14,0.0,-0.31,1.0,0.46,0.34,0.45,-0.28,0.15,0.17,0.0,0.0,0.15,0.0,-0.07
CyberThreat_Ignorance,0.15,0.07,0.09,0.2,0.2,0.0,-0.28,0.46,1.0,0.28,0.4,-0.25,0.14,0.15,0.0,0.0,0.11,0.0,-0.12
CyberThreat_Education,0.33,0.18,0.18,0.23,0.2,0.0,0.0,0.34,0.28,1.0,0.31,-0.07,0.27,0.31,0.07,0.12,0.14,0.0,0.11
CyberThreat_Helpless,0.14,0.0,0.14,0.13,0.08,0.0,-0.27,0.45,0.4,0.31,1.0,-0.44,0.08,0.16,0.0,0.0,0.18,0.0,0.0
CyberThreat_InformationSource,0.0,0.07,0.0,0.0,0.0,0.12,0.45,-0.28,-0.25,-0.07,-0.44,1.0,0.08,0.0,0.14,0.13,0.0,0.14,0.25
CyberThreat_CyberWar,0.32,0.22,0.19,0.36,0.43,-0.09,0.0,0.15,0.14,0.27,0.08,0.08,1.0,0.44,0.23,0.0,0.09,0.0,0.09
CyberThreat_FearCyberWar,0.43,0.17,0.22,0.27,0.32,0.1,0.0,0.17,0.15,0.31,0.16,0.0,0.44,1.0,0.26,0.12,0.19,0.1,0.14
CyberThreat_GERCounterAttack,0.16,0.14,0.1,0.12,0.17,0.11,0.17,0.0,0.0,0.07,0.0,0.14,0.23,0.26,1.0,0.18,0.1,0.08,0.14
CyberThreat_LEACompetence,0.0,0.0,0.14,-0.08,-0.14,0.62,0.15,0.0,0.0,0.12,0.0,0.13,0.0,0.12,0.18,1.0,0.07,0.45,0.19
CyberThreat_LEAInsecurity,0.15,0.0,0.12,0.0,0.12,0.08,0.0,0.15,0.11,0.14,0.18,0.0,0.09,0.19,0.1,0.07,1.0,0.08,0.13
CyberThreat_CyberCrimeJustice,0.0,-0.09,0.06,-0.17,-0.19,0.51,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.1,0.08,0.45,0.08,1.0,0.19
Knows_CyberMonth,0.12,0.0,0.09,0.0,0.0,0.24,0.19,-0.07,-0.12,0.11,0.0,0.25,0.09,0.14,0.14,0.19,0.13,0.19,1.0
