Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice
Interviewdauer [sec],0.0,0.1395,0.0,0.0845,0.1151,-0.1211,-0.0946,0.0,0.0,0.0689,0.0,-0.081,0.0,0.0,0.0,-0.0852,-0.0613,-0.1079
STATUS,,,,,,,,,,,,,,,,,,
current_Q,,,,,,,,,,,,,,,,,,
Consent,,,,,,,,,,,,,,,,,,
Age,0.0,0.2032,0.1118,0.0809,0.1199,-0.0681,-0.1349,0.0,-0.0808,-0.1512,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,-0.0695
Gender,-0.1019,0.0,0.0,-0.0781,-0.1097,0.0,-0.0902,0.0,0.0733,0.0,0.0917,-0.1602,-0.1212,0.0,-0.2147,0.0,0.0,0.0
Degree,0.1004,0.0,0.0,0.0602,0.0,-0.0637,0.0,0.0,0.0,0.1282,-0.061,0.0821,0.0702,0.0,0.0,0.0,-0.0916,0.0
Bundesland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0637,0.0,-0.077,0.0
Income,0.0622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646,0.0708,0.0,0.0,0.0,0.0,0.0
Usage_Laptop,0.0955,0.066,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.1342,0.0,0.0667,0.0735,0.0,0.0665,0.0,0.0691,0.0
Usage_MobilePhone,0.0712,0.0,0.0,0.0,0.0,0.0896,0.0,0.0,0.0,0.0,0.0,0.0783,0.0,0.0819,0.0,0.0,0.1071,0.0862
Usage_Smartphone,0.0,-0.0761,0.0,0.0,0.0,0.0,0.0814,0.0,0.1062,0.1769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
