Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice
CyberThreat_Danger,1.0,0.28,0.14,0.41,0.37,-0.06,-0.1,0.2,0.17,0.29,0.14,0.0,0.33,0.4,0.16,0.0,0.11,0.0
CyberThreat_FirewallSecurity,0.28,1.0,0.23,0.34,0.31,-0.11,0.0,0.07,0.08,0.18,0.0,0.09,0.24,0.17,0.09,-0.05,0.0,-0.11
CyberThreat_KnownWebsites,0.14,0.23,1.0,0.17,0.14,0.11,0.04,0.13,0.07,0.18,0.11,0.05,0.15,0.18,0.05,0.13,0.08,0.07
CyberThreat_Risk4Individual,0.41,0.34,0.17,1.0,0.48,-0.18,-0.08,0.2,0.19,0.25,0.12,0.0,0.36,0.24,0.14,-0.1,0.06,-0.16
CyberThreat_OnInfrastructure,0.37,0.31,0.14,0.48,1.0,-0.27,-0.05,0.15,0.17,0.19,0.05,0.0,0.43,0.29,0.15,-0.17,0.06,-0.21
CyberThreat_GERPreparedness,-0.06,-0.11,0.11,-0.18,-0.27,1.0,0.15,-0.07,0.0,0.0,0.0,0.11,-0.14,0.0,0.06,0.59,0.07,0.48
CyberThreat_SelfDefense,-0.1,0.0,0.04,-0.08,-0.05,0.15,1.0,-0.36,-0.33,-0.06,-0.29,0.46,0.0,-0.06,0.1,0.12,0.05,0.13
CyberThreat_Uninformed,0.2,0.07,0.13,0.2,0.15,-0.07,-0.36,1.0,0.44,0.29,0.46,-0.33,0.13,0.19,0.0,-0.05,0.11,-0.04
CyberThreat_Ignorance,0.17,0.08,0.07,0.19,0.17,0.0,-0.33,0.44,1.0,0.21,0.38,-0.26,0.11,0.15,0.0,0.0,0.08,0.0
CyberThreat_Education,0.29,0.18,0.18,0.25,0.19,0.0,-0.06,0.29,0.21,1.0,0.25,-0.05,0.23,0.28,0.08,0.09,0.11,0.05
CyberThreat_Helpless,0.14,0.0,0.11,0.12,0.05,0.0,-0.29,0.46,0.38,0.25,1.0,-0.42,0.06,0.17,0.06,0.0,0.15,0.0
CyberThreat_InformationSource,0.0,0.09,0.05,0.0,0.0,0.11,0.46,-0.33,-0.26,-0.05,-0.42,1.0,0.08,0.0,0.1,0.12,0.0,0.14
CyberThreat_CyberWar,0.33,0.24,0.15,0.36,0.43,-0.14,0.0,0.13,0.11,0.23,0.06,0.08,1.0,0.37,0.21,-0.05,0.07,-0.07
CyberThreat_FearCyberWar,0.4,0.17,0.18,0.24,0.29,0.0,-0.06,0.19,0.15,0.28,0.17,0.0,0.37,1.0,0.23,0.08,0.15,0.05
CyberThreat_GERCounterAttack,0.16,0.09,0.05,0.14,0.15,0.06,0.1,0.0,0.0,0.08,0.06,0.1,0.21,0.23,1.0,0.09,0.09,0.0
CyberThreat_LEACompetence,0.0,-0.05,0.13,-0.1,-0.17,0.59,0.12,-0.05,0.0,0.09,0.0,0.12,-0.05,0.08,0.09,1.0,0.0,0.44
CyberThreat_LEAInsecurity,0.11,0.0,0.08,0.06,0.06,0.07,0.05,0.11,0.08,0.11,0.15,0.0,0.07,0.15,0.09,0.0,1.0,0.07
CyberThreat_CyberCrimeJustice,0.0,-0.11,0.07,-0.16,-0.21,0.48,0.13,-0.04,0.0,0.05,0.0,0.14,-0.07,0.05,0.0,0.44,0.07,1.0
