Items,Knows_ENISA,Knows_BSI,Knows_BKA,Knows_CERTl,Knows_Europol,Knows_CAZ,Knows_ProPK,Knows_Zitis,Knows_Athene,Knows_CISPA,Knows_HGI,Knows_CODE,Knows_Kastel,Knows_MPI,Knows_ACS,Knows_CERTb,Knows_CERTv,Knows_Heise,Knows_CyberMonth,Knows_PWDay,Knows_DigDay,Knows_CSECDay
Knows_ENISA,1.0,0.53,0.33,0.6,0.39,0.57,0.53,0.62,0.61,0.51,0.59,0.59,0.6,0.46,0.59,0.61,0.6,0.46,0.63,0.52,0.63,0.64
Knows_BSI,0.53,1.0,0.51,0.5,0.4,0.5,0.42,0.51,0.43,0.45,0.4,0.4,0.41,0.4,0.43,0.51,0.47,0.52,0.43,0.46,0.4,0.43
Knows_BKA,0.33,0.51,1.0,0.37,0.57,0.4,0.39,0.34,0.3,0.29,0.22,0.24,0.25,0.32,0.26,0.32,0.27,0.31,0.26,0.33,0.25,0.25
Knows_CERTl,0.6,0.5,0.37,1.0,0.41,0.63,0.52,0.63,0.62,0.54,0.58,0.58,0.58,0.47,0.56,0.66,0.64,0.47,0.63,0.48,0.54,0.55
Knows_Europol,0.39,0.4,0.57,0.41,1.0,0.48,0.47,0.42,0.35,0.35,0.31,0.31,0.32,0.34,0.32,0.35,0.31,0.35,0.37,0.33,0.32,0.31
Knows_CAZ,0.57,0.5,0.4,0.63,0.48,1.0,0.57,0.65,0.59,0.52,0.54,0.56,0.55,0.47,0.57,0.57,0.55,0.44,0.58,0.47,0.54,0.53
Knows_ProPK,0.53,0.42,0.39,0.52,0.47,0.57,1.0,0.65,0.56,0.44,0.49,0.49,0.5,0.49,0.48,0.49,0.5,0.34,0.5,0.39,0.45,0.47
Knows_Zitis,0.62,0.51,0.34,0.63,0.42,0.65,0.65,1.0,0.68,0.55,0.6,0.57,0.62,0.49,0.59,0.59,0.6,0.43,0.57,0.47,0.53,0.57
Knows_Athene,0.61,0.43,0.3,0.62,0.35,0.59,0.56,0.68,1.0,0.61,0.67,0.65,0.68,0.51,0.61,0.6,0.63,0.44,0.63,0.48,0.56,0.58
Knows_CISPA,0.51,0.45,0.29,0.54,0.35,0.52,0.44,0.55,0.61,1.0,0.59,0.55,0.54,0.46,0.47,0.52,0.54,0.44,0.5,0.4,0.46,0.46
Knows_HGI,0.59,0.4,0.22,0.58,0.31,0.54,0.49,0.6,0.67,0.59,1.0,0.75,0.69,0.46,0.61,0.61,0.66,0.45,0.69,0.47,0.61,0.58
Knows_CODE,0.59,0.4,0.24,0.58,0.31,0.56,0.49,0.57,0.65,0.55,0.75,1.0,0.74,0.51,0.66,0.62,0.66,0.47,0.69,0.5,0.6,0.57
Knows_Kastel,0.6,0.41,0.25,0.58,0.32,0.55,0.5,0.62,0.68,0.54,0.69,0.74,1.0,0.51,0.65,0.61,0.67,0.46,0.65,0.5,0.59,0.57
Knows_MPI,0.46,0.4,0.32,0.47,0.34,0.47,0.49,0.49,0.51,0.46,0.46,0.51,0.51,1.0,0.55,0.48,0.51,0.35,0.49,0.38,0.41,0.43
Knows_ACS,0.59,0.43,0.26,0.56,0.32,0.57,0.48,0.59,0.61,0.47,0.61,0.66,0.65,0.55,1.0,0.66,0.67,0.46,0.62,0.52,0.6,0.58
Knows_CERTb,0.61,0.51,0.32,0.66,0.35,0.57,0.49,0.59,0.6,0.52,0.61,0.62,0.61,0.48,0.66,1.0,0.83,0.57,0.6,0.53,0.56,0.54
Knows_CERTv,0.6,0.47,0.27,0.64,0.31,0.55,0.5,0.6,0.63,0.54,0.66,0.66,0.67,0.51,0.67,0.83,1.0,0.54,0.64,0.55,0.6,0.59
Knows_Heise,0.46,0.52,0.31,0.47,0.35,0.44,0.34,0.43,0.44,0.44,0.45,0.47,0.46,0.35,0.46,0.57,0.54,1.0,0.51,0.45,0.41,0.4
Knows_CyberMonth,0.63,0.43,0.26,0.63,0.37,0.58,0.5,0.57,0.63,0.5,0.69,0.69,0.65,0.49,0.62,0.6,0.64,0.51,1.0,0.55,0.69,0.62
Knows_PWDay,0.52,0.46,0.33,0.48,0.33,0.47,0.39,0.47,0.48,0.4,0.47,0.5,0.5,0.38,0.52,0.53,0.55,0.45,0.55,1.0,0.61,0.57
Knows_DigDay,0.63,0.4,0.25,0.54,0.32,0.54,0.45,0.53,0.56,0.46,0.61,0.6,0.59,0.41,0.6,0.56,0.6,0.41,0.69,0.61,1.0,0.76
Knows_CSECDay,0.64,0.43,0.25,0.55,0.31,0.53,0.47,0.57,0.58,0.46,0.58,0.57,0.57,0.43,0.58,0.54,0.59,0.4,0.62,0.57,0.76,1.0
