Items,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker
Usage_Laptop,1.0,0.06,0.13,0.12,0.12,0.12,-0.22,0.1,0.12,0.14,0.07,0.16
Usage_MobilePhone,0.06,1.0,-0.17,0.07,0.0,0.2,0.17,0.0,0.06,0.09,0.15,0.1
Usage_Smartphone,0.13,-0.17,1.0,0.25,0.26,0.16,0.0,0.28,0.32,0.24,0.12,0.23
Usage_Tablet,0.12,0.07,0.25,1.0,0.29,0.23,0.1,0.25,0.24,0.27,0.23,0.28
Usage_SmartWatch,0.12,0.0,0.26,0.29,1.0,0.31,0.08,0.22,0.3,0.39,0.34,0.43
Usage_SmartCar,0.12,0.2,0.16,0.23,0.31,1.0,0.13,0.15,0.26,0.41,0.43,0.32
Usage_PC,-0.22,0.17,0.0,0.1,0.08,0.13,1.0,0.12,0.15,0.14,0.16,0.12
Usage_SmartTV,0.1,0.0,0.28,0.25,0.22,0.15,0.12,1.0,0.27,0.25,0.14,0.29
Usage_Console,0.12,0.06,0.32,0.24,0.3,0.26,0.15,0.27,1.0,0.37,0.3,0.35
Usage_SmartLights,0.14,0.09,0.24,0.27,0.39,0.41,0.14,0.25,0.37,1.0,0.53,0.53
Usage_SmartHeater,0.07,0.15,0.12,0.23,0.34,0.43,0.16,0.14,0.3,0.53,1.0,0.39
Usage_SmartSpeaker,0.16,0.1,0.23,0.28,0.43,0.32,0.12,0.29,0.35,0.53,0.39,1.0
