Items,Uses_AntivirusPC,Uses_AntivirusMobile,Uses_BackupPC,Uses_BackupMobile,Uses_FirewallPC,Uses_FirewallMobile,Uses_EncrMessenger,Uses_Spamfilter,Uses_FileEncryption,Uses_MailEncryption,Uses_AnonService,Uses_VPN,Uses_PWManager,Uses_2FA,Uses_OSUpdates,Uses_AppUpdates,Uses_Camcover,Uses_PWChange,Uses_DriveBackup,Uses_CloudBackup,Uses_SafeSearchEng
Uses_AntivirusPC,1.0,0.5314,0.2963,0.161,0.6297,0.3313,0.1396,0.3966,0.1601,0.1425,0.1529,0.2082,0.0,0.2259,0.4238,0.3605,0.196,0.2902,0.3039,0.0733,0.0873
Uses_AntivirusMobile,0.5314,1.0,0.3362,0.3642,0.3415,0.6188,0.2986,0.2615,0.3014,0.2777,0.294,0.2785,0.1439,0.2176,0.2781,0.2683,0.2388,0.2845,0.292,0.1826,0.2155
Uses_BackupPC,0.2963,0.3362,1.0,0.6616,0.2806,0.372,0.3491,0.2143,0.4638,0.4239,0.3816,0.3481,0.3,0.3112,0.2108,0.235,0.2688,0.2799,0.4266,0.4288,0.3442
Uses_BackupMobile,0.161,0.3642,0.6616,1.0,0.1775,0.4238,0.3774,0.2189,0.4159,0.374,0.3178,0.2756,0.3121,0.3262,0.2031,0.2725,0.1978,0.2554,0.3656,0.5288,0.2855
Uses_FirewallPC,0.6297,0.3415,0.2806,0.1775,1.0,0.464,0.1682,0.4184,0.2151,0.1934,0.1818,0.255,0.0931,0.2453,0.4145,0.378,0.1707,0.289,0.3258,0.1161,0.1262
Uses_FirewallMobile,0.3313,0.6188,0.372,0.4238,0.464,1.0,0.381,0.2785,0.4109,0.3804,0.3279,0.3413,0.2349,0.2351,0.2971,0.3069,0.2176,0.3292,0.3307,0.2833,0.2559
Uses_EncrMessenger,0.1396,0.2986,0.3491,0.3774,0.1682,0.381,1.0,0.2111,0.4462,0.455,0.4392,0.4052,0.2757,0.3031,0.2304,0.2719,0.2584,0.3324,0.3395,0.3361,0.3767
Uses_Spamfilter,0.3966,0.2615,0.2143,0.2189,0.4184,0.2785,0.2111,1.0,0.2603,0.2386,0.207,0.2963,0.132,0.3054,0.4336,0.4315,0.1221,0.2829,0.2994,0.193,0.1065
Uses_FileEncryption,0.1601,0.3014,0.4638,0.4159,0.2151,0.4109,0.4462,0.2603,1.0,0.7224,0.5255,0.529,0.3348,0.3597,0.1483,0.1903,0.3197,0.3088,0.3963,0.3747,0.3958
Uses_MailEncryption,0.1425,0.2777,0.4239,0.374,0.1934,0.3804,0.455,0.2386,0.7224,1.0,0.5611,0.5406,0.3116,0.3262,0.1314,0.1839,0.3016,0.3158,0.3626,0.3263,0.3908
Uses_AnonService,0.1529,0.294,0.3816,0.3178,0.1818,0.3279,0.4392,0.207,0.5255,0.5611,1.0,0.6442,0.3473,0.3681,0.1735,0.1978,0.3223,0.2835,0.3506,0.3002,0.4756
Uses_VPN,0.2082,0.2785,0.3481,0.2756,0.255,0.3413,0.4052,0.2963,0.529,0.5406,0.6442,1.0,0.346,0.4022,0.2315,0.2644,0.2803,0.2794,0.3408,0.3197,0.389
Uses_PWManager,0.0,0.1439,0.3,0.3121,0.0931,0.2349,0.2757,0.132,0.3348,0.3116,0.3473,0.346,1.0,0.3351,0.1771,0.2239,0.1543,0.178,0.2189,0.38,0.2806
Uses_2FA,0.2259,0.2176,0.3112,0.3262,0.2453,0.2351,0.3031,0.3054,0.3597,0.3262,0.3681,0.4022,0.3351,1.0,0.3644,0.395,0.2418,0.3335,0.3793,0.3833,0.3091
Uses_OSUpdates,0.4238,0.2781,0.2108,0.2031,0.4145,0.2971,0.2304,0.4336,0.1483,0.1314,0.1735,0.2315,0.1771,0.3644,1.0,0.8093,0.125,0.3497,0.3269,0.2024,0.0708
Uses_AppUpdates,0.3605,0.2683,0.235,0.2725,0.378,0.3069,0.2719,0.4315,0.1903,0.1839,0.1978,0.2644,0.2239,0.395,0.8093,1.0,0.1711,0.3669,0.3482,0.2682,0.1289
Uses_Camcover,0.196,0.2388,0.2688,0.1978,0.1707,0.2176,0.2584,0.1221,0.3197,0.3016,0.3223,0.2803,0.1543,0.2418,0.125,0.1711,1.0,0.3299,0.3435,0.2037,0.3003
Uses_PWChange,0.2902,0.2845,0.2799,0.2554,0.289,0.3292,0.3324,0.2829,0.3088,0.3158,0.2835,0.2794,0.178,0.3335,0.3497,0.3669,0.3299,1.0,0.4676,0.2752,0.2638
Uses_DriveBackup,0.3039,0.292,0.4266,0.3656,0.3258,0.3307,0.3395,0.2994,0.3963,0.3626,0.3506,0.3408,0.2189,0.3793,0.3269,0.3482,0.3435,0.4676,1.0,0.4392,0.3698
Uses_CloudBackup,0.0733,0.1826,0.4288,0.5288,0.1161,0.2833,0.3361,0.193,0.3747,0.3263,0.3002,0.3197,0.38,0.3833,0.2024,0.2682,0.2037,0.2752,0.4392,1.0,0.3374
Uses_SafeSearchEng,0.0873,0.2155,0.3442,0.2855,0.1262,0.2559,0.3767,0.1065,0.3958,0.3908,0.4756,0.389,0.2806,0.3091,0.0708,0.1289,0.3003,0.2638,0.3698,0.3374,1.0
