Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
Interviewdauer [sec],0.0,-0.09,-0.19,-0.22,-0.21,0.1,-0.13,-0.15,-0.14,0.0,-0.08,-0.1,0.0,-0.11,-0.14,-0.13,-0.08,0.1,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.0,0.0
STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,-0.13,-0.24,-0.2,-0.25,-0.25,-0.14,-0.32,-0.3,-0.24,-0.07,-0.21,-0.15,-0.23,-0.21,-0.27,-0.26,-0.27,-0.14,-0.15,-0.12,-0.08,-0.11,-0.2,-0.22,-0.24,-0.17,-0.13,-0.19,-0.12,-0.17,-0.17,-0.2,-0.11,-0.26
Gender,-0.09,-0.12,-0.09,-0.11,-0.12,0.09,0.0,0.0,-0.09,0.0,0.0,-0.1,-0.11,0.0,-0.08,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1
Degree,0.1,0.19,0.1,0.16,0.16,0.09,0.13,0.11,0.12,0.0,0.11,0.08,0.12,0.15,0.15,0.13,0.08,0.09,0.09,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.1
Bundesland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usage_Laptop,0.0,0.07,0.08,0.13,0.12,0.0,0.08,0.0,0.09,0.0,0.07,0.07,0.0,0.0,0.1,0.1,0.09,0.09,0.09,0.13,0.19,0.15,0.09,0.14,0.14,0.09,0.11,0.1,0.17,0.12,0.13,0.15,0.12,0.1
