,Value,Column,Row,Value 1,Value 2
504,-0.28,PastVictim_Scareware,PastVictim_DDoS,0.6,0.32
336,-0.24,PastVictim_PerfTheft,CyberThreat_Danger,0.21,-0.03
505,-0.24,PastVictim_Scareware,PastVictim_PerfTheft,0.63,0.39
382,-0.24,PastVictim_APT,Knows_PWDay,0.4,0.16
510,-0.23,PastVictim_Scareware,PastVictim_Phishing,0.6,0.37
703,-0.23,PastHelp_Manuf,FutureVictim_Sidechannel,0.24,0.01
614,-0.23,PastVictim_SocEng,PastVictim_DDoS,0.63,0.4
831,-0.22,PastHelp_IntExperts,PastHelp_Forum,0.6,0.38
787,-0.22,PastHelp_PublicMed,PastHelp_PrivateMed,0.76,0.54
771,-0.21,PastHelp_PCShop,FutureVictim_PerfTheft,0.19,-0.02
1026,-0.21,Uses_MailEncryption,Uses_FileEncryption,0.72,0.51
197,-0.21,Knows_CISPA,Knows_Athene,0.61,0.4
506,-0.21,PastVictim_Scareware,PastVictim_APT,0.61,0.4
616,-0.21,PastVictim_SocEng,PastVictim_APT,0.74,0.53
488,-0.21,PastVictim_ShopScam,PastVictim_Scareware,0.42,0.21
562,-0.2,PastVictim_Phishing,PastVictim_PerfTheft,0.55,0.35
708,-0.2,PastHelp_Manuf,FutureVictim_Phishing,0.21,0.01
711,-0.2,PastHelp_Manuf,FutureVictim_SocMedHack,0.25,0.05
254,-0.2,Knows_CERTv,Knows_CERTb,0.83,0.63
248,-0.2,Knows_CERTv,CyberThreat_Danger,0.15,-0.05
511,-0.2,PastVictim_Scareware,PastVictim_Doxing,0.54,0.34
347,-0.2,PastVictim_PerfTheft,PastVictim_APT,0.78,0.58
701,-0.2,PastHelp_Manuf,FutureVictim_PerfTheft,0.22,0.02
391,-0.2,PastVictim_APT,PastHelp_PCShop,0.28,0.08
180,-0.2,Knows_Zitis,Knows_ProPK,0.65,0.45
615,-0.2,PastVictim_SocEng,PastVictim_PerfTheft,0.72,0.52
149,-0.2,Knows_CERTl,Knows_BKA,0.37,0.17
153,-0.2,Knows_Europol,Knows_CAZ,0.48,0.28
210,-0.2,Knows_CODE,CyberThreat_Danger,0.11,-0.09
580,-0.2,PastVictim_Doxing,PastVictim_DDoS,0.6,0.4
216,-0.2,Knows_Kastel,CyberThreat_Danger,0.13,-0.07
132,-0.2,Knows_ENISA,Knows_CSECDay,0.64,0.44
531,-0.19,PastVictim_Spyware,PastVictim_DDoS,0.6,0.41
318,-0.19,PastVictim_DDoS,PastVictim_CyBully,0.5,0.31
1290,-0.19,RelInfo_SecShopping,RelInfo_SecBanking,0.71,0.52
289,-0.19,Knows_DigDay,Knows_CSECDay,0.76,0.57
56,-0.19,Usage_Console,Knows_PWDay,0.29,0.1
581,-0.19,PastVictim_Doxing,PastVictim_APT,0.7,0.51
364,-0.19,PastVictim_APT,CyberThreat_GERPreparedness,0.28,0.09
789,-0.19,PastHelp_PublicMed,FutureVictim_APT,0.2,0.01
533,-0.19,PastVictim_Spyware,PastVictim_Scareware,0.65,0.46
346,-0.19,PastVictim_PerfTheft,PastVictim_DDoS,0.64,0.45
1047,-0.19,Uses_VPN,Uses_AnonService,0.64,0.45
830,-0.19,PastHelp_IntExperts,PastHelp_EmployerIT,0.47,0.28
599,-0.18,PastVictim_SocEng,CyberThreat_Danger,0.23,0.05
166,-0.18,Knows_ProPK,Knows_CAZ,0.57,0.39
985,-0.18,Uses_BackupMobile,FutureVictim_SocEng,0.21,0.03
306,-0.18,PastVictim_Virus,PastVictim_DDoS,0.48,0.3
