Nummer;TAN;START;END;Interviewdauer [sec];STATUS;STATUS_TEXT;current_Q;Q1A1;Q2;Q3;Q4;Q5;Q6;Q7A1_1;Q7A2_1;Q7A3_1;Q7A4_1;Q7A5_1;Q7A6_1;Q7A7_1;Q7A8_1;Q7A9_1;Q7A10_1;Q7A11_1;Q7A12_1;Q8A1_1;Q8A2_1;Q8A3_1;Q8A4_1;Q8A5_1;Q8A6_1;Q8A7_1;Q8A8_1;Q8A9_1;Q8A10_1;Q8A11_1;Q8A12_1;Q8A13_1;Q8A14_1;Q8A15_1;Q8A16_1;Q8A17_1;Q8A18_1;Q9A1_1;Q9A2_1;Q9A3_1;Q9A4_1;Q9A5_1;Q9A6_1;Q9A7_1;Q9A8_1;Q9A9_1;Q9A10_1;Q9A11_1;Q9A12_1;Q9A13_1;Q9A14_1;Q9A15_1;Q9A16_1;Q9A17_1;Q9A18_1;Q9A19_1;Q9A20_1;Q9A21_1;Q9A22_1;Q10A1_1;Q10A2_1;Q10A3_1;Q10A4_1;Q10A5_1;Q10A6_1;Q10A7_1;Q10A8_1;Q10A9_1;Q10A10_1;Q10A11_1;Q10A12_1;Q10A13_1;Q10A14_1;Q10A15_1;Q10A16_1;Q10A17_1;Q11A1_1;Q11A2_1;Q11A3_1;Q11A4_1;Q11A5_1;Q11A6_1;Q11A7_1;Q11A8_1;Q11A9_1;Q11A10_1;Q11A11_1;Q11A12_1;Q11A13_1;Q11A14_1;Q11A15_1;Q11A16_1;Q12A1_1;Q12A2_1;Q12A3_1;Q12A4_1;Q12A5_1;Q12A6_1;Q12A7_1;Q12A8_1;Q12A9_1;Q12A10_1;Q12A11_1;Q12A12_1;Q12A13_1;Q12A14_1;Q12A15_1;Q12A16_1;Q12A17_1;Q13A1_1;Q13A2_1;Q13A3_1;Q13A4_1;Q13A5_1;Q13A6_1;Q13A7_1;Q13A8_1;Q13A9_1;Q13A10_1;Q13A11_1;Q13A12_1;Q13A13_1;Q13A14_1;Q13A15_1;Q13A16_1;Q13A17_1;Q13A18_1;Q13A19_1;Q13A20_1;Q13A21_1;Q14A1_1;Q14A2_1;Q14A3_1;Q14A4_1;Q14A5_1;Q14A6_1;Q14A7_1;Q14A8_1;Q14A9_1;Q14A10_1;Q14A11_1;Q14A12_1;Q14A13_1;Q15A1_1;Q15A2_1;Q15A3_1;Q15A4_1;Q15A5_1;Q15A6_1;Q15A7_1;Q15A8_1;Q15A9_1;Q15A10_1;Q15A11_1;Q15A12_1;Q15A13_1;Q15A14_1;Q17A1_1;Q17A2_1;Q17A3_1;Q17A4_1;Q17A5_1;Q17A6_1;Q17A7_1;Q17A8_1;Q17A9_1;Q17A10_1;Q17A11_1;Q17A12_1;Q17A13_1;Q17A14_1;Q17A15_1;Q17A16_1;Q17A17_1;Q17A18_1;Q17A19_1;Q18A1;Q18A2;Q18A3;Q18A4;Q18A5;Q18A6;Q18A7;Q18A8;Q18A9;Q18A10;Q18A11;Q18A12;Q18A13;Q18A14;Q18A15;Q18A16;Q18A17;Q18A18;Q18A19;Q19A1_1;Q19A2_1;Q19A3_1;Q19A4_1;Q19A5_1;Q19A6_1;Q19A7_1;Q19A8_1;Q19A9_1;Q19A10_1;Q19A11_1;Q19A12_1;Q19A13_1;Q19A14_1;Q19A15_1;Q19A16_1;Q19A17_1;Q19A18_1;Q19A19_1;Q20A1_1;Q20A2_1;Q20A3_1;Q20A4_1;Q20A5_1;Q20A6_1;Q20A7_1;Q20A8_1;Q20A9_1;Q20A10_1;Q20A11_1;Q20A12_1;Q20A13_1;Q20A14_1;Q20A15_1;Q20A16_1;Q20A17_1;Q20A18_1;tic;QUESTION_ORDER
21;21;12:38:23 02.09.2021;13:13:28 02.09.2021;2104;5;;20;1;2;1;8;10;7;4;1;4;4;4;1;1;4;4;1;1;4;3;4;2;4;4;2;3;4;4;5;5;3;5;5;3;3;2;4;3;3;3;3;5;5;3;4;3;2;3;3;3;5;5;5;4;3;4;5;3;3;4;2;2;2;1;6;2;2;3;2;2;3;3;3;2;2;2;5;5;1;2;1;5;5;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;5;5;4;4;4;4;4;4;4;5;5;4;4;5;4;5;4;4;4;4;3;4;4;4;3;4;5;5;4;5;5;4;3;2;5;4;4;5;1;1;2;1;4;4;5;5;4;4;2;2;2;3;1;5;5;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;4;4;5;3;3;5;5;5;5;5;3;3;3;5;3;3;3;4;4;3;4;4;2;4;4;4;4;5;4;2;4;3;3;4;4;3;6130a9766cfe070001f9d688;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
23;23;12:40:17 02.09.2021;13:12:45 02.09.2021;1948;5;;20;1;6;1;2;10;4;1;1;1;1;1;1;4;4;1;1;1;1;2;4;3;4;4;2;4;2;2;2;2;4;4;2;4;2;4;2;3;3;3;3;3;3;3;3;3;3;1;1;1;3;1;1;1;1;1;1;1;1;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;5;1;1;5;1;1;1;1;5;1;5;5;1;1;1;1;1;5;5;5;5;5;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;1;5;3;3;2;2;2;1;1;1;1;1;3;1;1;5;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;6130a9716cfe070001f9d650;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
25;25;12:42:40 02.09.2021;22:53:46 02.09.2021;37437;5;;20;1;4;1;8;7;8;2;2;4;3;4;3;4;3;3;2;3;2;2;4;5;4;3;4;5;1;2;3;1;5;5;4;4;5;1;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;2;3;2;2;3;3;2;4;4;4;2;2;3;3;2;3;2;3;3;4;3;2;2;2;4;3;2;5;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;4;5;5;2;4;4;4;4;2;3;5;4;4;2;4;5;5;4;2;5;5;5;5;2;3;2;2;4;4;1;2;4;4;3;4;4;3;3;5;5;4;4;4;4;4;4;3;2;3;2;2;3;2;4;4;2;2;2;2;2;2;2;3;5;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;5;4;4;4;4;3;3;4;5;5;5;5;4;4;5;5;4;3;3;4;4;3;3;3;3;4;2;4;5;2;3;3;4;3;3;5;5;6130a9727b8b9c00012bb02c;,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,17,18,19,20
26;26;12:44:55 02.09.2021;12:52:20 02.09.2021;445;5;;20;1;2;1;4;13;3;2;3;2;3;4;3;3;4;3;4;3;2;5;4;4;2;3;4;4;3;4;2;4;3;2;3;4;2;3;3;5;4;2;2;2;3;5;4;3;3;4;4;2;3;2;3;4;4;3;4;3;4;4;3;6;5;4;5;5;3;4;6;5;4;5;4;5;4;5;2;2;2;4;3;4;4;3;2;3;3;3;2;3;4;3;4;5;4;2;4;4;4;5;4;2;4;4;5;4;5;3;5;3;4;3;4;3;2;3;4;3;4;3;4;3;2;3;4;3;2;4;3;2;3;3;4;2;3;4;2;4;3;4;2;5;2;3;2;4;3;2;2;3;4;5;3;1;4;3;4;4;4;4;3;3;3;3;4;3;3;4;5;4;5;5;3;3;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;3;2;3;4;4;3;4;3;4;3;2;3;3;5;4;3;4;3;4;5;4;2;5;5;4;3;4;2;4;3;4;5;4;3;4;3;6130a96e6cfe070001f9d55c;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
27;27;12:49:00 02.09.2021;12:59:39 02.09.2021;638;5;;20;1;6;2;4;3;6;4;1;2;1;1;1;1;1;2;1;1;1;4;4;3;3;4;3;4;2;2;3;2;4;2;2;3;3;3;2;1;2;3;2;2;1;2;1;1;1;1;1;1;2;1;1;1;3;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;3;4;1;1;1;4;1;1;4;4;4;3;3;1;1;1;3;3;3;3;3;3;3;3;3;3;3;2;5;5;5;5;5;5;5;5;5;5;3;5;1;4;4;4;4;5;4;4;3;3;5;2;2;5;1;1;1;1;4;3;3;3;4;4;4;4;4;2;4;4;5;4;4;4;4;5;3;3;3;3;3;3;2;3;3;3;1;1;1;1;1;1;1;1;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3;3;4;5;3;2;1;1;4;5;5;5;1;1;4;3;3;3;3;3;3;3;3;3;3;4;2;4;4;3;3;4;3;1;4;4;2;6130a9767b8b9c00012bb05e;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
30;30;13:12:08 02.09.2021;13:29:12 02.09.2021;1024;5;;20;1;5;2;7;4;4;3;2;1;1;1;1;1;1;1;1;1;1;3;5;4;3;4;2;3;3;4;4;4;3;4;3;1;3;3;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;6;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;3;1;1;1;1;1;1;1;5;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;5;1;1;5;1;1;1;1;1;4;3;3;5;4;3;3;1;3;4;2;2;3;3;2;3;2;4;4;5;3;4;3;3;4;3;4;3;3;5;4;4;4;4;4;1;3;1;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;4;3;4;3;5;5;5;5;1;3;1;1;5;4;5;5;4;5;3;5;4;5;3;1;1;5;5;5;4;3;3;1;4;1;1;6130a9796cfe070001f9d6ea;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
31;31;13:18:29 02.09.2021;13:42:05 02.09.2021;1416;5;;20;1;5;1;7;3;9;4;2;2;2;1;1;1;1;1;1;1;1;4;1;1;4;3;3;2;3;3;4;3;3;3;2;1;3;3;3;2;3;5;2;5;2;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;4;2;2;1;2;2;1;2;1;1;5;1;2;1;1;1;1;1;1;1;1;4;4;1;2;2;1;2;1;3;2;2;2;3;2;2;1;1;1;1;2;2;2;1;1;5;2;1;5;2;2;2;2;2;2;2;2;3;4;2;1;1;3;4;4;4;4;3;2;2;3;2;5;5;4;4;4;4;5;3;3;4;4;5;3;4;5;3;5;1;1;1;1;1;3;2;2;2;4;1;1;1;1;1;1;1;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;5;5;5;5;3;5;5;4;5;4;5;5;5;5;5;4;4;1;4;3;4;4;4;3;3;3;5;4;4;4;2;2;1;3;3;5;6130a96c6cfe070001f9d4c0;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
34;34;13:51:17 02.09.2021;11:32:14 03.09.2021;6751;5;;20;1;1;1;6;10;5;4;1;4;3;2;2;4;4;2;2;1;2;2;4;2;4;4;2;4;2;3;5;3;4;2;3;1;3;2;1;3;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;4;2;2;2;1;1;1;1;6;2;2;2;2;3;2;2;3;2;2;4;1;1;1;1;1;1;2;1;1;1;1;1;2;2;5;4;4;6;5;4;1;6;1;1;4;6;2;1;6;5;3;2;4;4;1;4;4;5;4;1;5;3;1;4;5;5;5;5;5;1;5;4;4;3;3;4;5;4;5;2;1;2;1;1;1;1;1;5;5;3;3;3;5;5;5;5;5;5;3;5;5;5;3;1;1;2;1;1;1;3;1;1;1;4;1;2;1;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;3;5;5;5;5;5;5;5;5;5;3;4;4;5;4;3;5;4;3;3;1;3;4;3;5;5;5;5;1;1;3;5;5;5;5;4;6130a96e6cfe070001f9d55a;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
35;35;14:16:31 02.09.2021;14:46:42 02.09.2021;1811;5;;20;1;4;1;7;1;7;4;1;3;2;2;1;2;2;1;1;1;2;4;5;3;4;4;2;3;4;2;4;2;4;4;1;3;2;2;2;2;3;3;1;3;2;2;1;1;2;1;1;1;2;1;1;1;2;2;1;1;1;3;2;2;2;1;6;2;2;1;3;2;2;2;2;2;1;3;2;1;3;2;3;3;2;1;1;1;4;1;1;3;2;4;3;3;1;2;3;5;2;2;3;4;5;3;4;3;2;3;4;5;3;1;1;5;2;5;4;3;3;2;4;1;5;5;5;5;4;3;2;3;4;4;1;1;5;3;2;2;4;4;4;5;4;4;3;2;4;4;3;2;2;5;4;5;5;4;3;3;4;4;2;4;4;1;1;3;3;1;1;2;1;3;1;1;4;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;5;5;5;4;5;4;4;5;4;4;3;4;5;5;4;4;3;4;4;4;4;5;4;3;2;5;5;5;3;4;3;1;3;4;3;6130a9727b8b9c00012bb02d;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
37;37;14:22:16 02.09.2021;14:44:28 02.09.2021;1332;5;;20;1;2;2;4;1;2;2;2;4;1;1;1;1;1;1;1;1;1;1;4;1;4;3;3;2;3;4;2;2;3;1;1;2;3;4;2;3;2;3;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;2;5;2;2;1;1;6;2;2;2;2;2;2;2;2;2;2;3;3;2;3;5;4;1;1;2;1;1;3;3;1;5;3;1;5;5;1;3;5;6;5;6;4;1;5;4;1;1;3;4;1;5;3;3;5;5;5;4;1;1;1;1;1;1;1;5;5;5;3;3;3;1;3;5;3;1;5;5;1;5;4;5;5;5;5;3;4;1;1;3;5;3;1;5;2;5;5;3;5;1;1;1;1;2;2;1;1;3;4;1;1;3;2;3;1;1;1;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;5;4;5;5;5;5;4;5;5;3;5;5;5;5;5;4;5;4;4;3;2;5;5;4;3;4;5;4;1;1;5;3;1;4;4;1;6130a9797b8b9c00012bb082;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
